"Ref","Value","Footprint","DNP"
"C1","100nF","Capacitor_SMD:C_1206_3216Metric",""
"J1","TRACKBALL","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J2","SPARE","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J3","ENCODER","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J4","BUTTON","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R1","150R","Resistor_SMD:R_1206_3216Metric",""
"R2","4k7","Resistor_SMD:R_1206_3216Metric","DNP"
"R3","4k7","Resistor_SMD:R_1206_3216Metric","DNP"
"SJ1","OPEN","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","DNP"
"U1","Pro Micro 5V/16MHz","cipher2:ProMicro_2x12_P2.54mm",""
